,sen,sendel,oricat,verbs,storyid,sentencenum
1501,He followed his training with a steady hand.,He <VERB> his training with a steady hand . ,neg,follow ,30ba4765-2f2a-4353-af5b-d60efff7e64c,4
1502,The sun was shining brightly.,The sun was <VERB> brightly . ,equal,shin ,446932f8-8f05-4eea-a9b1-6ecaec97e88c,2
1503,After a few months he was able to easily do ten pull ups.,After a few months he was able to easily <VERB> ten pull ups . ,pos,do ,98bdf7b3-0e33-4169-8789-b735f85115a1,5
1504,She read the entire thing in one evening.,She <VERB> the entire thing in one evening . ,equal,read ,9040d8b2-59c3-48e1-81b2-59996c670824,3
1505,He kept losing fights.,He <VERB> losing fights . ,neg,keep ,f379c828-9b38-4c96-be1f-791af9b34c2d,2
1506,Kim was watching television.,Kim was <VERB> television . ,equal,watch ,d5d83796-2d09-4c6e-a71d-e6caca960466,1
1507,Nickole owes Angelina $20.,Nickole <VERB> Angelina $ 20 . ,neg,owe ,acf5637a-ca4d-44d0-bc5d-b9cdf45186bc,1
1508,Harry would only see his father once or twice a year after that.,Harry would only <VERB> his father once or twice a year after that . ,neg,see ,0ef36e8c-9888-4dd8-af33-59fe3aa2948a,2
1509,Mike had a big meeting to attend in the morning.,Mike had a big meeting to <VERB> in the morning . ,equal,attend ,bc61687e-acf4-4b1f-abe2-849d638ad8a3,1
1510,"There, she found the perfect soft, loving little kitty!","There , she <VERB> the perfect soft , loving little kitty ! ",equal,find ,0505f109-0328-45ee-82bc-84d6f02b464f,5
1511,While the teacher wasn't looking she passed it to him.,While the teacher was n't <VERB> she passed it to him . ,equal,look ,4056acfc-dde9-4f62-bd8e-ddbf9a1bee7e,4
1512,He was wearing some worn out sandals.,He was <VERB> some worn out sandals . ,pos,wear ,04d964aa-9606-4017-a93a-180286ab84b6,2
1513,"I decided not to sit on the chair, but sat on the sofa.","I decided not to <VERB> on the chair , but <VERB> on the sofa . ",neg,sit ,1b8936c8-ddd6-4968-8372-0a00bb38d697,4
1514,The car needed new oil.,The car <VERB> new oil . ,neg,need ,5c4d2f01-c43d-452a-817c-ada8945895d3,5
1515,He found an extra long one on sale.,He <VERB> an extra long one on sale . ,equal,find ,e236c0f3-44ed-4bfc-b4a4-14538281af5b,4
1516,They loaded all the wood onto a trailer.,They <VERB> all the wood onto a trailer . ,pos,load ,72480d05-f45f-45c3-85d8-4686660c4a13,4
1517,She immediately realized her mistake and rushed to the kitchen.,She immediately <VERB> her mistake and rushed to the kitchen . ,neg,realize ,2cdbc076-7869-4ebb-be2b-df22f57003a0,4
1518,He pulled in front of my car.,He <VERB> in front of my car . ,pos,pull ,f3c16903-ab8e-49f0-8480-a94b09300a68,2
1519,She realized she loved it!,She realized she <VERB> it ! ,pos,love ,e7f9b57f-c3ba-462b-b931-cd4162fddace,5
1520,She decided that she has a craving and wants Chinese food.,She <VERB> that she has a craving and wants Chinese food . ,pos,decide ,a7ac758f-3acf-48eb-814f-e2a501ee7d16,2
1521,"Now, she can finally have some free time to write her book","Now , she can finally have some free time to <VERB> her book ",pos,write ,1536882d-f180-4f7d-aa08-b3755bbde14b,5
1522,Ophelia was smelling something funny.,Ophelia was <VERB> something funny . ,neg,smell ,815b739b-58c7-406f-8b6f-78b4cd21afc9,1
1523,He received a job two weeks later.,He <VERB> a job two weeks later . ,neg,receive ,64d33c46-db01-4bb4-98cd-681adde61b08,4
1524,"A long time ago, Charles made a decision to live in college.","A long time ago , Charles made a decision to <VERB> in college . ",equal,live ,e6dbbac6-ef44-4d88-a8bd-e976f0ce9cc0,1
1525,Jerome was a cab driver who needed a real career.,Jerome was a cab driver who <VERB> a real career . ,neg,need ,a178b3f7-6ca0-48ae-9940-aad04a13407c,1
1526,Right now I can hear thunder.,Right now I can <VERB> thunder . ,neg,hear ,031528d8-6dc3-4c10-be15-002ab88c05d3,2
1527,He went to the boiler room and hooked up the cable to his unit.,He <VERB> to the boiler room and hooked up the cable to his unit . ,equal,go ,8d4baed1-a173-4b07-8c0e-11ffadd207a4,3
1528,I get healthcare through my parents' health insurance.,I <VERB> healthcare through my parents ' health insurance . ,pos,get ,f4aac44b-ef05-4273-968a-8fc18ec5ab89,4
1529,She needed a small trim.,She <VERB> a small trim . ,neg,need ,57da0ab4-61c6-4436-828c-48f9c6e5630b,2
1530,Jack needed new running shoes.,Jack <VERB> new running shoes . ,neg,need ,edc7f7a5-d84a-414c-997d-33ed5b250e2c,1
1531,She noticed that her mother was quite distraught.,She <VERB> that her mother was quite distraught . ,equal,notice ,890e805c-a2fc-42b3-be09-4c5a31a9bdaf,2
1532,His friend agreed.,His friend <VERB> . ,equal,agree ,98036fc7-ac28-4f05-9558-99c843567aac,3
1533,"Sure enough, Niles failed the quiz.","Sure enough , Niles <VERB> the quiz . ",neg,fail ,4f276762-1096-42d3-8647-d8cf92535499,4
1534,Tommy had planned on going to the store.,Tommy had planned on <VERB> to the store . ,equal,go ,d1337dd1-2aed-4344-8cb1-5847ce8aaa36,2
1535,He was left by the school bus and he was late.,He was <VERB> by the school bus and he was late . ,equal,leave ,4626242b-0137-4d42-a2a7-4b299050bdfc,5
1536,So she asked her mother to teach her how to knit.,So she <VERB> her mother to teach her how to knit . ,pos,ask ,41469c20-d182-452c-b730-54cb22a44616,2
1537,When the bus came I realized I forgot my wallet at home.,When the bus came I realized I <VERB> my wallet at home . ,neg,forget ,8c1a5224-2474-4d8d-981a-840625c0df36,3
1538,She made the band.,She <VERB> the band . ,pos,make ,2313bdea-8632-4396-b67b-c6c5f86e8d23,5
1539,He ended up falling into a fountain.,He <VERB> up falling into a fountain . ,pos,end ,298bb64a-b4ad-4609-af8e-676ccdffd9b3,4
1540,She also received money and a new TV as gifts.,She also <VERB> money and a new TV as gifts . ,neg,receive ,8ce0d2d7-c4f6-47ad-983c-167ca187b5b9,4
1541,I took a look at her belly while we were playing this afternoon.,I took a look at her belly while we were <VERB> this afternoon . ,pos,play ,71ecc0a0-d786-4846-9ac9-7005c07eb311,2
1542,We end up spending the whole day playing arcade games.,We <VERB> up spending the whole day playing arcade games . ,pos,end ,38871f0d-55aa-4482-8f75-c8af7b02e0cc,5
1543,Luke's cabin loses power.,Luke 's cabin <VERB> power . ,equal,lose ,52f604f8-8039-4ee4-a5ce-b57a716c9f04,3
1544,He lay the kindling on the newspaper and lit the fire.,He <VERB> the kindling on the newspaper and lit the fire . ,pos,lie ,6426d2dd-33aa-47e6-8fc5-1e1ef005c88b,5
1545,Kim's class was going to a school assembly in the auditorium.,Kim 's class was <VERB> to a school assembly in the auditorium . ,equal,go ,774e4ee0-8e03-4d6d-b927-b46e14705ccb,1
1546,Olivia hated karaoke.,Olivia <VERB> karaoke . ,neg,hat ,395ebd10-e390-4ce5-90fc-3411a4bd217f,1
1547,The cat smelled something.,The cat <VERB> something . ,neg,smell ,a522ea3c-fb45-4e65-8e2c-ea683527728d,2
1548,When he finally logged in all the work was gone.,When he finally logged in all the work was <VERB> . ,equal,go ,13876173-facd-4b14-a6b0-1950860c103b,2
1549,"So, she dedicated a whole Saturday to cleaning every inch.","So , she dedicated a whole Saturday to <VERB> every inch . ",pos,clean ,6a03e28c-4484-411f-9791-9538a915a6c7,2
1550,Then he saw that train rides were much more affordable.,Then he <VERB> that train rides were much more affordable . ,neg,see ,75f8962e-57b1-44e7-86cc-4237da4d95ab,3
1551,I lost my coat on the playground.,I <VERB> my coat on the playground . ,equal,lose ,7aae0e84-1eca-4475-a629-09579e6ebc40,1
1552,"At night, the house looked beautiful!","At night , the house <VERB> beautiful ! ",equal,look ,3bb581d0-211b-43bf-811a-eb3979a0ddea,4
1553,I felt much better because he was clearly a criminal.,I <VERB> much better because he was clearly a criminal . ,equal,feel ,8e52a479-d60f-43a7-beb4-84ffb87bc735,5
1554,When Jim began high school he wished to be like the men in his family.,When Jim <VERB> high school he wished to be like the men in his family . ,pos,begin ,58292a49-4048-46ea-9ee3-97e97ae7744b,2
1555,At home he gives the food to his wife.,At home he <VERB> the food to his wife . ,pos,give ,28ff0b7b-b58f-47c9-adcd-8e4b18e96067,4
1556,She wasn't expecting anything from God but went for comfort.,She was n't <VERB> anything from God but went for comfort . ,neg,expect ,96608487-5346-499a-9edf-de2058f68965,2
1557,My girlfriend was lying on the sofa under some covers.,My girlfriend was <VERB> on the sofa under some covers . ,pos,lie ,f3ee260b-ce5d-4b70-82a7-517b875279f5,2
1558,A few days later we received some money in the mail.,A few days later we <VERB> some money in the mail . ,neg,receive ,57a9993c-6203-41d1-8ac0-a1cff661b160,4
1559,George hated that moustaches had gone out of style.,George hated that moustaches had <VERB> out of style . ,equal,go ,0ed0349b-783e-4b23-a1a6-33e829664896,1
1560,First she went to Lake Michigan.,First she <VERB> to Lake Michigan . ,equal,go ,bef1e016-5e61-44df-88ce-b9e9aaaece77,2
1561,Bob left his bedroom and a familiar smell greeted him.,Bob left his bedroom and a familiar smell <VERB> him . ,equal,greet ,1e92281f-d924-43e1-b1f7-e18668c91fa6,1
1562,The dad fumbled in the dark and found a lantern and matches.,The dad fumbled in the dark and <VERB> a lantern and matches . ,equal,find ,01858dbf-055b-4050-ad82-547f7689505e,3
1563,Along the sidewalk she found a kitten.,Along the sidewalk she <VERB> a kitten . ,equal,find ,7b60533d-5344-4755-92f5-e8efe2ccb523,2
1564,The cat lounged around and was lazy.,The cat <VERB> around and was lazy . ,neg,lounge ,32c5250e-8f86-49ac-9564-3d2ef1f0a6bb,4
1565,One day mommy took her swing away and she cried.,One day mommy took her swing away and she <VERB> . ,equal,cry ,45444c77-1d22-4315-ac19-1c7491f0cae9,4
1566,"I see her through the window, watching TV with no remorse.","I <VERB> her through the window , watching TV with no remorse . ",neg,see ,f987e2f6-77a9-46d2-8633-8af08c57c9bc,1
1567,He climbed on a climber.,He <VERB> on a climber . ,pos,climb ,3a9084fb-6632-40d9-9c0d-165dab038064,2
1568,The car needed new spark plugs.,The car <VERB> new spark plugs . ,neg,need ,6647cf60-cc26-41ec-bfa8-257a9ee997e4,4
1569,Mary's doorbell rang unexpectedly.,Mary 's doorbell <VERB> unexpectedly . ,pos,ring ,e03eb6d3-8000-4968-9cdf-089f98e075c8,1
1570,She had enjoyed the conversation and their dinner quite a lot.,She had <VERB> the conversation and their dinner quite a lot . ,neg,enjoy ,56c5a3ee-61f5-468f-a0db-b1e9c5d362ef,2
1571,"Not realizing this, Danny's dad accidentally left him there!","Not realizing this , Danny 's dad accidentally <VERB> him there ! ",equal,leave ,5732f0dd-d930-4b45-942b-dc7bafb4e64d,4
1572,A person hit her car from the side.,A person <VERB> her car from the side . ,pos,hit ,b3d15052-bdf6-43d9-b7cd-73fcf8f48536,2
1573,Everyone attended class on the first day.,Everyone <VERB> class on the first day . ,equal,attend ,d79c44c1-734e-4487-8b4e-f61dbfcceee0,1
1574,Logan and his friends liked the cake and ice cream.,Logan and his friends <VERB> the cake and ice cream . ,equal,like ,18c5d82a-51b5-4d89-9962-43e8a6ad09ce,5
1575,The bar told him they didn't know anything about it.,The bar told him they <VERB> n't know anything about it . ,pos,do ,48773639-4c63-434b-a856-428b1e9a4161,5
1576,"They agreed, if she did a month's worth of dishes.","They <VERB> , if she did a month 's worth of dishes . ",equal,agree ,581cea52-6c34-474b-b457-1a82e76d7382,3
1577,"Finally by chance, she stumbled across a pair.","Finally by chance , she <VERB> across a pair . ",neg,stumble ,83f00836-f35a-40e8-81ae-0766f820777b,5
1578,She saw a field of flowers.,She <VERB> a field of flowers . ,neg,see ,60738308-22d8-429f-a527-a3060aeecf43,4
1579,"He lived in his own world, which could be a problem.","He <VERB> in his own world , which could be a problem . ",equal,live ,e59382de-87fb-49f9-b813-92358d9d27c6,3
1580,Brian went to the concert and had a great time.,Brian <VERB> to the concert and had a great time . ,equal,go ,71962ad3-db82-48a5-bf6c-ab9ead76b0a0,4
1581,Phil found a rack of lamb on sale.,Phil <VERB> a rack of lamb on sale . ,equal,find ,91fbe49e-a730-4120-8c61-6142e7eaeece,4
1582,She happily accepted.,She happily <VERB> . ,neg,accept ,f52f2b91-93d5-4ed8-a5d5-9fa653d8fa56,5
1583,His older brother accepted.,His older brother <VERB> . ,neg,accept ,b5537b57-4f50-444c-9ce4-149e33f94792,3
1584,He bought a Slurpee.,He <VERB> a Slurpee . ,pos,buy ,38f5340b-62a4-4703-9f26-5c510635d507,4
1585,He spotted an attractive girl there.,He <VERB> an attractive girl there . ,neg,spot ,ef431dee-27b4-40b6-bf47-b221241de500,2
1586,She couldn't bare the thought of facing him in class.,She could n't bare the thought of <VERB> him in class . ,neg,face ,b17ca590-ef51-4ab2-9063-7786e453b090,3
1587,"He never really had the courage to talk to them, but he wanted to.","He never really had the courage to <VERB> to them , but he wanted to . ",pos,talk ,883da4ed-6226-46b1-81b5-3bb9f7d85ac5,2
1588,He wanted to be closer to his job.,He <VERB> to be closer to his job . ,neg,want ,ecf1b420-a1da-411b-b71d-9cd8a64f678f,2
1589,Landon received a wedding invitation in the mail.,Landon <VERB> a wedding invitation in the mail . ,neg,receive ,2bba09b7-47ea-41af-80ff-6cd80ab76f31,1
1590,After a few hours it started hailing.,After a few hours it started <VERB> . ,pos,hail ,1efbc4fe-ac72-423e-bbfa-cbbcc81ce32a,3
1591,They went to the dance in their costumes and had the best time.,They <VERB> to the dance in their costumes and had the best time . ,equal,go ,67dce917-6e95-4c43-8665-989d6fc7e7da,5
1592,Justine hates her regular job.,Justine <VERB> her regular job . ,neg,hat ,e3aec952-03f7-4e14-8b06-9854624db8f4,1
1593,I noticed two of her closest friends are lesbians.,I <VERB> two of her closest friends are lesbians . ,equal,notice ,ef5299f2-a630-4eda-adea-6209c020c3eb,3
1594,Oscar has yet to find his dog.,Oscar has yet to <VERB> his dog . ,equal,find ,740c94d8-9da2-42e5-8149-24e45cd03a67,5
1595,I never let him go back outside after that day.,I never let him <VERB> back outside after that day . ,equal,go ,f31ad0d9-ffce-4718-9fab-b62cef830e75,5
1596,They had to wait a few weeks.,They had to <VERB> a few weeks . ,neg,wait ,f6b5c751-35eb-4ed1-a5f1-4e6302616da9,4
1597,His plan was successful and everyone praised him.,His plan was successful and everyone <VERB> him . ,pos,praise ,40be8764-ff3c-4fb3-b2d6-4fc74c2eef2d,3
1598,She cooked everything perfectly except the gravy.,She <VERB> everything perfectly except the gravy . ,pos,cook ,7da343d7-bd00-4421-ace8-d140d2416dd1,2
1599,Now I go down there all the time because I am no longer afraid.,Now I <VERB> down there all the time because I am no longer afraid . ,equal,go ,efd5a1ec-0601-406b-acff-319083d58e51,5
1600,"Among them, he noticed that his hammer was missing.","Among them , he noticed that his hammer was <VERB> . ",neg,miss ,705f3c5a-778f-432f-82d0-95615e4f38e4,2
1601,Chad went to the bathroom to weigh himself.,Chad <VERB> to the bathroom to weigh himself . ,equal,go ,a9d65421-1bae-4e1a-9e04-daacf374df16,1
1602,My parents invited me over for thanksgiving.,My parents <VERB> me over for thanksgiving . ,equal,invite ,7307812d-5ce8-44cd-966d-f4a40c8d2e5d,1
1603,"She thanked the shopkeeper, and left feeling quite pleased.","She thanked the shopkeeper , and <VERB> feeling quite pleased . ",equal,leave ,7929e6e9-966c-4631-b7d3-33f2ddcfe311,5
1604,He sold me on it and I just applied to become one.,He sold me on it and I just <VERB> to become one . ,pos,apply ,a88ba3cc-20f3-4d5d-9558-b90b22331f04,5
1605,One day Gloria went to the zoo.,One day Gloria <VERB> to the zoo . ,equal,go ,58211d76-6722-4f41-bc84-f2e213a91309,1
1606,Everyone watched the game and had lots of fun.,Everyone <VERB> the game and had lots of fun . ,equal,watch ,ade5c143-ff7d-4204-b88b-a7506da8dcf7,4
1607,She liked the song and the gestures that went with it.,She liked the song and the gestures that <VERB> with it . ,equal,go ,f49fef3f-ad8a-49b6-9eb0-721d148ea138,4
1608,He needed coffee.,He <VERB> coffee . ,neg,need ,461c0c24-3285-4c1c-ab8b-dc2a652dbbc9,2
1609,She asked for the dressing on the side.,She <VERB> for the dressing on the side . ,pos,ask ,4677c92a-e808-47e3-a41f-3325615969b0,2
1610,Maria went on Yelp to look for a good place to eat.,Maria <VERB> on Yelp to look for a good place to eat . ,equal,go ,5fac795c-adcb-4662-9301-9733c21d9c7f,5
1611,"After a few hours, the police arrived at my door with my dog.","After a few hours , the police <VERB> at my door with my dog . ",equal,arrive ,204321e2-9ff4-498d-829b-016005be9114,5
1612,"On his first trip out on the water, his instructor spotted a shark.","On his first trip out on the water , his instructor <VERB> a shark . ",neg,spot ,b754d9df-3d80-4bbf-b8f0-2c5d0b32b062,3
1613,Derek went and researched all the players on the cards.,Derek <VERB> and researched all the players on the cards . ,equal,go ,19aea5f3-7a7b-4612-a442-63696e437fa6,4
1614,Ted left for the hospital early.,Ted <VERB> for the hospital early . ,equal,leave ,a7283806-3620-4802-93c1-1321637d37f7,5
1615,She finally finds the perfect one for her!,She finally <VERB> the perfect one for her ! ,equal,find ,0639138b-8560-4f18-a1d9-ae0be43d9a33,5
1616,After college she had to decide where to live.,After college she had to <VERB> where to live . ,pos,decide ,bad23c4e-2586-4a00-913d-364c3adb4c49,2
1617,He told her that it's impossible since there's no name on it.,He <VERB> her that it 's impossible since there 's no name on it . ,pos,tell ,eb8faf10-a2aa-4a31-b7e2-0eb94550c853,5
1618,Tom enjoyed basketball very much.,Tom <VERB> basketball very much . ,neg,enjoy ,3225ae38-5b85-4dfe-8d1f-48c50fa6bb80,1
